attendance,purchase_rate,customers,purchase_amount,revenue,profit
173,0.353376,60,7.89,473.49,223.49
102,0.457631,45,6.58,296.05,46.05
117,0.402823,51,3.20,163.13,-86.87
166,0.478920,94,6.31,592.77,342.77
140,0.465272,60,6.33,379.82,129.82
140,0.590832,83,7.82,648.99,398.99
136,0.454884,68,5.81,395.17,145.17
159,0.656378,107,3.91,418.82,168.82
146,0.437475,65,6.37,414.29,164.29
122,0.578175,72,7.47,538.00,288.00
177,0.463856,77,5.15,396.91,146.91
153,0.423577,55,3.27,179.96,-70.04
112,0.570559,71,6.13,435.00,185.00
117,0.412811,49,5.33,261.02,11.02
121,0.466579,52,3.49,181.45,-68.55
88,0.310108,25,5.42,135.49,-114.51
116,0.362337,42,4.00,168.07,-81.93
113,0.377605,42,6.66,279.79,29.79
161,0.434061,58,3.35,194.03,-55.97
131,0.434641,52,3.51,182.53,-67.47
129,0.670252,89,4.38,390.08,140.08
150,0.374873,60,7.95,477.05,227.05
91,0.599415,55,4.85,266.81,16.81
177,0.594449,105,3.55,373.23,123.23
126,0.388795,48,6.16,295.67,45.67
115,0.435139,44,3.38,148.91,-101.09
164,0.414860,72,7.72,556.03,306.03
101,0.487170,43,3.74,160.79,-89.21
95,0.404831,45,6.31,283.73,33.73
109,0.337807,39,7.13,278.03,28.03
162,0.475255,70,7.05,493.32,243.32
95,0.648471,57,7.80,444.40,194.40
96,0.572106,51,3.55,181.07,-68.93
125,0.494147,65,7.59,493.66,243.66
171,0.565178,101,7.49,756.13,506.13
165,0.357203,57,3.47,197.68,-52.32
120,0.338704,39,3.02,117.72,-132.28
138,0.393827,52,6.01,312.36,62.36
171,0.361516,65,7.04,457.35,207.35
84,0.396154,27,5.47,147.61,-102.39
177,0.559144,94,4.70,441.81,191.81
165,0.476879,74,4.13,305.52,55.52
132,0.482752,66,4.29,283.38,33.38
95,0.311146,26,4.10,106.71,-143.29
103,0.583056,55,7.29,401.07,151.07
141,0.520161,71,5.41,384.26,134.26
138,0.314121,43,7.09,304.94,54.94
168,0.444641,75,7.25,543.79,293.79
106,0.357136,33,7.47,246.63,-3.37
97,0.337046,33,5.68,187.53,-62.47
89,0.413309,38,3.42,130.05,-119.95
86,0.578499,46,6.23,286.37,36.37
134,0.518566,73,7.81,570.31,320.31
154,0.577386,88,6.76,594.51,344.51
81,0.625447,46,5.01,230.66,-19.34
107,0.319453,36,7.11,256.04,6.04
149,0.402547,52,6.84,355.72,105.72
88,0.677620,60,3.04,182.39,-67.61
157,0.306441,42,7.86,330.14,80.14
93,0.460274,41,7.19,294.98,44.98
139,0.637208,93,6.31,586.54,336.54
144,0.385599,67,4.97,333.27,83.27
148,0.412501,70,6.06,424.08,174.08
93,0.322168,31,5.22,161.91,-88.09
163,0.553536,90,3.33,299.63,49.63
168,0.540627,90,4.05,364.48,114.48
86,0.528762,42,5.96,250.44,0.44
86,0.349918,30,3.83,114.93,-135.07
137,0.367776,43,6.72,289.01,39.01
110,0.430929,54,6.45,348.03,98.03
139,0.362589,56,5.89,329.79,79.79
146,0.655348,91,7.20,654.99,404.99
157,0.601824,96,7.41,711.48,461.48
128,0.499637,72,7.41,533.77,283.77
142,0.465735,61,5.70,347.77,97.77
147,0.435759,70,5.68,397.29,147.29
157,0.343158,55,4.07,223.75,-26.25
149,0.477644,65,4.00,259.73,9.73
178,0.511189,79,6.63,523.47,273.47
177,0.308049,64,7.24,463.22,213.22
124,0.601601,62,4.97,308.15,58.15
150,0.345916,43,5.54,238.05,-11.95
127,0.638886,79,3.13,247.15,-2.85
98,0.382675,45,5.97,268.70,18.70
126,0.473317,58,4.45,258.19,8.19
95,0.516051,51,6.47,329.87,79.87
98,0.678518,70,3.64,255.01,5.01
108,0.363079,52,7.50,389.87,139.87
126,0.323780,40,4.74,189.58,-60.42
150,0.477938,71,3.81,270.39,20.39
131,0.641420,82,7.87,645.68,395.68
131,0.546801,69,6.56,452.70,202.70
101,0.462975,53,6.43,340.58,90.58
177,0.575071,98,6.09,596.38,346.38
166,0.616462,99,5.32,526.69,276.69
132,0.393460,53,5.70,302.33,52.33
136,0.398836,50,4.51,225.54,-24.46
130,0.401051,48,6.51,312.43,62.43
80,0.423640,33,3.06,101.00,-149.00
84,0.328299,27,7.03,189.85,-60.15
175,0.484294,80,4.20,336.04,86.04
163,0.379031,59,4.15,244.82,-5.18
94,0.655299,57,5.17,294.52,44.52
107,0.477947,56,7.97,446.12,196.12
102,0.375501,35,3.32,116.13,-133.87
179,0.498870,99,4.82,476.94,226.94
91,0.475799,45,7.77,349.83,99.83
120,0.532094,58,4.14,240.40,-9.60
159,0.420137,65,4.57,296.81,46.81
89,0.512694,44,5.88,258.84,8.84
128,0.566170,64,4.17,267.03,17.03
101,0.452866,39,4.87,190.08,-59.92
173,0.577904,104,3.75,389.50,139.50
110,0.662926,68,3.81,259.17,9.17
146,0.682584,103,5.93,611.16,361.16
124,0.522425,53,5.59,296.39,46.39
135,0.372603,52,6.66,346.20,96.20
82,0.387350,27,4.16,112.21,-137.79
113,0.494998,62,6.21,384.83,134.83
156,0.502938,84,3.03,254.14,4.14
89,0.393068,29,7.72,223.77,-26.23
167,0.529087,91,4.75,432.51,182.51
138,0.514449,79,4.82,381.11,131.11
177,0.517590,86,5.10,438.81,188.81
147,0.478455,74,7.49,554.53,304.53
116,0.377202,52,4.50,234.03,-15.97
118,0.648851,77,7.69,592.33,342.33
170,0.497643,96,4.77,457.95,207.95
97,0.593459,56,3.65,204.33,-45.67
111,0.659921,80,3.24,259.57,9.57
169,0.437070,71,4.85,344.32,94.32
160,0.399961,77,7.61,586.00,336.00
81,0.485145,42,3.34,140.45,-109.55
144,0.344727,39,6.92,269.80,19.80
107,0.310225,34,6.42,218.33,-31.67
141,0.561825,72,5.88,423.69,173.69
166,0.350045,65,6.33,411.62,161.62
153,0.582614,79,5.63,444.75,194.75
107,0.626885,79,6.04,477.21,227.21
147,0.488765,76,7.33,557.02,307.02
146,0.317356,46,6.50,299.04,49.04
150,0.607239,90,5.96,536.67,286.67
119,0.559956,64,7.45,476.51,226.51
164,0.561705,90,6.07,546.64,296.64
146,0.679525,99,4.23,418.82,168.82
121,0.698041,86,6.31,542.27,292.27
178,0.669202,118,5.54,653.37,403.37
165,0.484636,78,3.73,291.22,41.22
147,0.393904,61,5.36,327.07,77.07
109,0.305089,32,4.28,137.07,-112.93
173,0.537589,87,4.45,386.78,136.78
110,0.627122,80,7.51,601.11,351.11
152,0.477124,82,5.25,430.77,180.77
158,0.669136,106,7.88,835.27,585.27
92,0.395492,34,3.62,123.20,-126.80
132,0.318946,48,5.44,261.01,11.01
128,0.341150,36,6.12,220.28,-29.72
166,0.411520,73,6.80,496.57,246.57
83,0.372681,34,3.46,117.50,-132.50
145,0.696741,96,6.20,595.61,345.61
153,0.680083,105,5.65,592.75,342.75
116,0.347035,41,3.97,162.85,-87.15
132,0.451307,61,4.26,259.91,9.91
105,0.430899,51,6.98,356.03,106.03
170,0.607662,109,5.08,553.53,303.53
110,0.590345,60,5.16,309.42,59.42
133,0.607026,83,3.16,262.55,12.55
126,0.454858,48,5.26,252.46,2.46
147,0.462192,66,7.43,490.37,240.37
86,0.472257,33,3.96,130.78,-119.22
179,0.306365,58,4.74,275.02,25.02
98,0.351788,33,3.98,131.33,-118.67
160,0.571208,97,7.81,757.10,507.10
150,0.457548,67,7.14,478.52,228.52
89,0.547327,56,4.14,232.07,-17.93
179,0.559463,118,6.11,721.29,471.29
148,0.325663,40,6.83,273.16,23.16
170,0.542294,94,6.72,631.82,381.82
125,0.663669,88,5.04,443.72,193.72
171,0.687287,119,3.22,382.63,132.63
105,0.539518,48,6.47,310.63,60.63
178,0.631049,108,3.13,338.35,88.35
96,0.520565,50,3.94,196.83,-53.17
102,0.600532,53,4.30,227.79,-22.21
162,0.524018,86,7.63,655.88,405.88
167,0.504277,85,7.47,635.03,385.03
129,0.416139,57,4.39,250.37,0.37
122,0.384652,41,4.22,173.17,-76.83
150,0.619180,82,3.36,275.57,25.57
114,0.339112,37,4.80,177.52,-72.48
101,0.358446,35,3.44,120.29,-129.71
83,0.426779,46,7.25,333.51,83.51
129,0.601845,86,7.75,666.56,416.56
175,0.585773,101,5.67,572.22,322.22
108,0.441002,49,7.70,377.34,127.34
145,0.536651,84,3.47,291.47,41.47
103,0.593394,58,4.38,254.28,4.28
174,0.576033,100,6.42,642.24,392.24
133,0.448232,53,6.83,362.06,112.06
82,0.653866,46,3.12,143.48,-106.52
